name,mean,n
Olly,-0.22529219165927242,1127
Meryn Trant,-0.20926289308176094,159
Night King,-0.1967982592668435,4883
Viserion,-0.1393923990498813,421
Ellaria Sand,-0.1386326291079812,426
Rhaegal,-0.12339999999999991,671
Shae,-0.12246768893756836,913
Cersei Lannister,-0.11044036315682663,9858
Theon Greyjoy,-0.1096059323446093,6001
Lysa Arryn,-0.10896661237785024,614
Ramsay Bolton,-0.10320452549814257,2961
Gregor Clegane (“The Mountain”),-0.10269517161140207,1719
Joffrey Baratheon,-0.10256706324358188,3194
Euron Greyjoy,-0.08577239530988279,2985
Talisa Stark,-0.08415729442970822,377
Robb Stark,-0.07487950138504154,2166
Jojen Reed,-0.07362034139402564,703
Daenerys Targaryen,-0.07318029302112643,15289
Grand Maester Pycelle,-0.07250268656716416,335
Randyll Tarly,-0.06763703703703706,162
Drogon,-0.06528492403583962,2567
Arya Stark,-0.06381688753711333,13809
Walder Frey,-0.06294154411764706,544
Rickon Stark,-0.06187276326207446,1263
Tommen Baratheon,-0.05766598114824338,2334
Roose Bolton,-0.05533364779874215,1272
Ygritte,-0.054228482972136324,969
Ned Stark,-0.05412110160029777,2687
Hodor,-0.05323626713843428,2261
Lancel Lannister,-0.05244441340782122,358
Jon Snow,-0.05193991331335597,18688
Grey Worm,-0.049364841788046225,1991
Locke,-0.04665728900255757,391
Bran Stark,-0.045814966139954824,8860
Alliser Thorne,-0.0447387234042553,470
Stannis Baratheon,-0.04254865637507139,5247
Oberyn Martell,-0.040897742432016396,1949
Missandei,-0.0399578835978836,945
Shireen Baratheon,-0.03728296213808465,898
Brynden Tully (“The Blackfish”),-0.035220783132530104,664
Catelyn Stark,-0.03515709068776626,1643
Jaime Lannister,-0.03425795926438605,10114
Jorah Mormont,-0.03297563310685618,3238
Lyanna Mormont,-0.03178611111111111,288
Melisandre,-0.029497515772870676,2536
Meera Reed,-0.029397926267281084,434
Edmure Tully,-0.026686678507992893,563
Sansa Stark,-0.02566041131105388,9725
Beric Dondarrion,-0.023403579676674356,866
Samwell Tarly,-0.02315788043478266,4784
Petyr Baelish (“Littlefinger”),-0.02201241434905284,4962
Maester Aemon,-0.017492444444444453,450
Benjen Stark,-0.01457241379310345,1305
Barristan Selmy,-0.014531924360400468,899
Khal Drogo,-0.014321098901098919,455
Robert Baratheon,-0.014063556851312067,1372
Varys,-0.010377041602465414,3245
Tyrion Lannister,-0.00613844918775986,10588
Qyburn,-0.004885815602836868,846
Tywin Lannister,-0.0035924418604652585,3268
Mance Rayder,-0.0031712201591511894,754
Renly Baratheon,-0.00226210826210828,702
Sandor Clegane (“The Hound”),0.0006600834151128663,4076
Gendry,0.002054226961157668,2626
Osha,0.0051469047619047605,420
High Sparrow,0.005467916666666685,480
Loras Tyrell,0.00860186567164179,1072
Robin Arryn,0.009163128491620105,358
Bronn,0.019484578804347702,2944
Jaqen H'ghar,0.019722634508348783,539
Brienne of Tarth,0.020738261480787154,4268
Gilly,0.022247111111111117,900
Yara Greyjoy,0.02289209354120267,898
Thoros of Myr,0.025118534482758647,464
Olenna Tyrell,0.027250155118924504,967
Daario Naharis,0.028815267785771318,1251
Davos Seaworth,0.04217486687965912,2817
Margaery Tyrell,0.049461825726140975,1205
Tormund Giantsbane,0.05530114860014369,2786
Podrick Payne,0.060938969310943746,1727
