Name,Comment ID
Tyrion Lannister,c1ryhh4
Jaime Lannister,c1rzx44
Robert Baratheon,c1rzx44
Barristan Selmy,c1rzx44
Varys,c1s0ko2
Barristan Selmy,c1s0ko2
Renly Baratheon,c1s0ko2
Varys,c1rzn0a
Ned Stark,c1rzy64
Tyrion Lannister,c1rzdjo
Jon Snow,c1rzdjo
Arya Stark,c1rzdjo
Arya Stark,c1rzm24
Jaqen H'ghar,c1rzm24
Robert Baratheon,c1rygxr
Samwell Tarly,c1rygxr
Arya Stark,c1rygxr
Brienne of Tarth,c1rygxr
Jaime Lannister,c1rygxr
Varys,c1s2t9e
Ned Stark,c1s2t9e
Gregor Clegane (“The Mountain”),c1s2t9e
Renly Baratheon,c1s2t9e
Catelyn Stark,c1s2t9e
Petyr Baelish (“Littlefinger”),c1s2t9e
Cersei Lannister,c1sat9u
Jon Snow,c1rz1ni
Cersei Lannister,c1s00l3
Jaime Lannister,c1s00l3
Robert Baratheon,c1s00l3
Barristan Selmy,c1s00l3
Ned Stark,c1so7hy
Ned Stark,c1so6rv
Ned Stark,c1so6zj
Loras Tyrell,c1s4xis
Renly Baratheon,c1s4xis
Robb Stark,c1sdn1n
Theon Greyjoy,c1sdn1n
Jon Snow,c1sdn1n
Renly Baratheon,c1sdn1n
Petyr Baelish (“Littlefinger”),c1s444r
Petyr Baelish (“Littlefinger”),c1s1gdk
Varys,c1s1gdk
Grand Maester Pycelle,c1s1gdk
Renly Baratheon,c1s1gdk
Varys,c1sar1w
Ned Stark,c1s0il3
Gregor Clegane (“The Mountain”),c1ryovo
Jaime Lannister,c1rzxxq
Robert Baratheon,c1rzxxq
Barristan Selmy,c1rzxxq
Jaqen H'ghar,c1rzxo7
Jaime Lannister,c1ryoav
Bran Stark,c1rzud5
Tyrion Lannister,c1s11ap
Jon Snow,c1s11ap
Petyr Baelish (“Littlefinger”),c1s2wqa
Ned Stark,c1s2wqa
Robb Stark,c1s006w
Bran Stark,c1s006w
Bran Stark,c1sourh
Varys,c1s1dde
Samwell Tarly,c1rz1m0
Osha,c1s00z5
Bran Stark,c1s00z5
Bran Stark,c1snqso
Hodor,c1rz2kj
Samwell Tarly,c1rz53p
Samwell Tarly,c1rz63y
Bran Stark,c1sqnv8
Hodor,c1rz5e1
Tyrion Lannister,c1t2umx
Samwell Tarly,c1t2umx
Bran Stark,c1t2umx
Petyr Baelish (“Littlefinger”),c1t2umx
Sansa Stark,c1t2umx
Loras Tyrell,c1t442c
Gregor Clegane (“The Mountain”),c1t442c
Sandor Clegane (“The Hound”),c1t442c
Hodor,c1t4hld
Hodor,c1t2dhh
Samwell Tarly,c1t2dhh
Jon Snow,c1t2dhh
Catelyn Stark,c1t2dhh
Arya Stark,c1t4do7
Gendry,c1t4do7
Sansa Stark,c1t2g2z
Petyr Baelish (“Littlefinger”),c1t33lp
Sansa Stark,c1t33lp
Gregor Clegane (“The Mountain”),c1t33lp
Tyrion Lannister,c1t5bi6
Gendry,c1t5bi6
Samwell Tarly,c1t5bi6
Arya Stark,c1t5bi6
