Comment ID,Positive,Negative,Neutral,Compound
c1rziq8,0.167,0.112,0.722,0.6361
c1ryhh4,0.0,0.346,0.654,-0.6486
c1rzx44,0.218,0.147,0.635,0.8238
c1s0ko2,0.205,0.055,0.74,0.8907
c1rzn0a,0.333,0.0,0.667,0.8176
c1rzy64,0.094,0.0,0.906,0.4201
c1ryji7,0.062,0.16,0.779,-0.881
c1rzdjo,0.0,0.0,1.0,0.0
c1rzm24,0.135,0.0,0.865,0.5341
c1rygxr,0.127,0.169,0.704,-0.7015
c1ryse8,0.348,0.0,0.652,0.5777
c1s0ozs,0.0,0.136,0.864,-0.7184
c1sa6yi,0.368,0.0,0.632,0.7906
c1s2t9e,0.178,0.048,0.775,0.9627
c1sat9u,0.355,0.0,0.645,0.6705
c1rzx8h,0.143,0.234,0.623,-0.5423
c1ryi1a,0.0,0.0,1.0,0.0
c1rz1ni,0.456,0.103,0.441,0.7003
c1s13v4,0.0,0.0,1.0,0.0
c1s00l3,0.324,0.06,0.617,0.8748
c1so7hy,0.111,0.139,0.75,-0.2193
c1so6rv,0.11,0.138,0.752,-0.2193
c1so6zj,0.11,0.138,0.752,-0.2193
c1s4xis,0.112,0.052,0.836,0.3182
c1sdn1n,0.0,0.0,1.0,0.0
c1s0qrz,0.0,0.0,1.0,0.0
c1s0ipl,0.105,0.0,0.895,0.3804
c1s444r,0.104,0.098,0.798,0.0387
c1s1gdk,0.159,0.047,0.795,0.7261
c1sar1w,0.264,0.0,0.736,0.836
c1s0il3,0.0,0.0,1.0,0.0
c1rymnj,0.252,0.121,0.627,0.4926
c1ryovo,0.268,0.054,0.678,0.8459
c1rzxxq,0.0,0.0,1.0,0.0
c1rzxo7,0.143,0.081,0.776,0.2716
c1ryoav,0.414,0.0,0.586,0.8619
c1rzf8a,0.245,0.276,0.479,-0.1496
c1rzud5,0.158,0.113,0.729,0.8042
c1s6q8u,0.158,0.0,0.842,0.8313
c1s11ap,0.0,0.0,1.0,0.0
c1s2wqa,0.155,0.063,0.782,0.4675
c1s006w,0.077,0.148,0.774,-0.7281
c1rytaq,0.0,0.0,1.0,0.0
c1s3co5,0.352,0.048,0.601,0.7958
c1sourh,0.209,0.109,0.682,0.5346
c1s1dde,0.145,0.053,0.802,0.5267
c1s8iop,0.0,0.0,1.0,0.0
c1s7slz,0.0,0.0,1.0,0.0
c1ryoke,0.441,0.0,0.559,0.7845
c1s2u22,0.286,0.081,0.633,0.8165
c1s02a8,0.142,0.123,0.735,0.1027
c1rzy0g,0.0,0.0,1.0,0.0
c1rz1m0,0.165,0.079,0.756,0.3612
c1s00z5,0.163,0.02,0.816,0.8151
c1s14yy,0.165,0.379,0.456,-0.578
c1snqso,0.0,0.081,0.919,-0.296
c1rz2kj,0.0,0.0,1.0,0.0
c1rz53p,0.0,0.0,1.0,0.0
c1rz63y,0.158,0.351,0.491,-0.6249
c1s3ucr,0.109,0.0,0.891,0.4019
c1s1gkz,0.14,0.223,0.637,-0.0772
c1sqnv8,0.0,0.0,1.0,0.0
c1rzr8j,0.0,1.0,0.0,-0.1531
c1rz5e1,0.0,0.0,1.0,0.0
c1t2umx,0.196,0.088,0.716,0.9739
c1t442c,0.0,0.272,0.728,-0.7264
c1t4hld,0.375,0.0,0.625,0.4588
c1t2dhh,0.252,0.069,0.68,0.9927
c1t4do7,0.235,0.0,0.765,0.6114
c1t2g2z,0.137,0.042,0.822,0.8318
c1t33lp,0.025,0.061,0.914,-0.6845
c1t5bi6,0.173,0.052,0.775,0.9558
c1t5xmi,0.105,0.031,0.865,0.8856
c1t7ntj,0.201,0.19,0.609,0.128
c1t5dhn,0.193,0.027,0.78,0.9532
c1t5kec,0.278,0.032,0.69,0.9685
c1t5qi6,0.181,0.323,0.495,-0.9038
c1t2ddj,0.0,0.0,1.0,0.0
c1t5740,0.119,0.03,0.851,0.8053
c1t9ypk,0.133,0.079,0.787,0.7083
c1t4wtu,0.059,0.214,0.727,-0.9381
c1t3oy8,0.02,0.034,0.946,-0.0799
c1t39xp,0.081,0.108,0.811,-0.718
c1t4boy,0.0,0.161,0.839,-0.5859
c1t48vs,0.296,0.0,0.704,0.2732
c1t5u6s,0.0,0.0,1.0,0.0
c1t4moo,0.216,0.107,0.677,0.7269
c1t4po9,0.0,0.0,1.0,0.0
c1t36zy,0.083,0.071,0.846,0.2394
c1t2ecm,0.0,0.29,0.71,-0.6486
c1t4nf4,0.064,0.093,0.843,-0.3182
c1t4bel,0.0,0.452,0.548,-0.9594
c1tc95x,0.0,0.248,0.752,-0.8047
c1t2ila,0.134,0.019,0.848,0.8945
c1t393u,0.142,0.0,0.858,0.8043
c1t4n9u,0.189,0.0,0.811,0.4201
c1t5lwk,0.186,0.0,0.814,0.9266
c1t5tqx,0.02,0.197,0.784,-0.8989
c1t67k7,0.134,0.069,0.797,0.4497
c1t6soj,0.346,0.0,0.654,0.5719
c1tbc1k,0.488,0.0,0.512,0.8221
c1t2elp,0.22,0.019,0.761,0.9592
c1t43ia,0.071,0.1,0.829,-0.1531
c1t5nk6,0.333,0.0,0.667,0.6705
c1ta0ki,0.165,0.036,0.799,0.9854
c1t5u3g,0.0,0.0,1.0,0.0
c1tbko2,0.043,0.033,0.925,0.2132
c1t3vg8,0.222,0.103,0.675,0.8954
c1t6ep9,0.048,0.089,0.864,-0.6287
c1t4a67,0.0,0.399,0.601,-0.743
c1t4tit,0.0,0.0,1.0,0.0
c1t4ux8,0.0,0.0,1.0,0.0
c1t4bl0,0.185,0.043,0.772,0.8081
c1t9gh1,0.066,0.0,0.934,0.4019
c1t5l0n,0.117,0.091,0.792,0.7867
c1t2huf,0.0,0.0,1.0,0.0
c1tczxn,0.05,0.055,0.895,-0.0418
c1tm6vx,0.081,0.0,0.919,0.5423
c1tbj48,0.0,0.0,1.0,0.0
c1t2fil,0.0,0.0,1.0,0.0
c1t445t,0.615,0.0,0.385,0.4927
c1t4mhg,0.172,0.0,0.828,0.4019
c1t67xk,0.535,0.0,0.465,0.3182
c1tblbw,0.398,0.189,0.413,0.3693
c1t6nia,0.164,0.0,0.836,0.6249
c1t73pg,0.236,0.0,0.764,0.9223
c1t58dg,0.132,0.115,0.752,0.1007
c1t9hez,0.119,0.098,0.783,0.2023
c1tcyjs,0.0,0.058,0.942,-0.5367
c1t5lj4,0.256,0.089,0.656,0.7269
c1t6be2,0.095,0.06,0.845,0.3291
c1t2igf,0.388,0.0,0.612,0.6908
c1tmbxs,0.225,0.0,0.775,0.4404
c1tcczm,0.28,0.089,0.632,0.6406
c1t2i50,0.0,0.18,0.82,-0.2942
c1t3dnb,0.075,0.185,0.741,-0.9611
c1t4my6,0.163,0.149,0.688,-0.1298
c1t4ujs,0.44,0.0,0.56,0.6705
c1tmkn3,0.167,0.0,0.833,0.4588
c1t6g6v,0.245,0.241,0.514,-0.204
c1t4mee,0.0,0.458,0.542,-0.8519
c1t5y32,0.0,0.066,0.934,-0.0516
c1u9ktr,0.048,0.139,0.813,-0.9772
c1u9per,0.0,0.0,1.0,0.0
c1uasgn,0.0,0.0,1.0,0.0
c1uae3e,0.225,0.044,0.731,0.871
c1u9oz2,0.123,0.105,0.771,0.1523
c1uag2y,0.144,0.093,0.763,0.6183
c1uasjn,0.219,0.069,0.712,0.9525
c1ub6pu,0.086,0.083,0.83,0.048
c1u9jwp,0.0,0.0,1.0,0.0
c1ue96j,0.198,0.052,0.75,0.9512
c1u9n80,0.157,0.143,0.7,0.4399
c1uaex1,0.264,0.145,0.591,0.8057
c1ubq9r,0.098,0.029,0.873,0.784
c1uk8mu,0.166,0.214,0.621,-0.1779
c1ubowo,0.117,0.089,0.794,0.5549
c1udbuk,0.0,0.099,0.901,-0.5256
c1ub33a,0.2,0.124,0.676,0.6022
c1uccww,0.158,0.0,0.842,0.8439
c1ulo88,0.297,0.0,0.703,0.9625
c1u9q55,0.249,0.058,0.692,0.9957
c1u9lqw,0.028,0.092,0.881,-0.5719
c1uh0h5,0.133,0.095,0.772,0.3384
c1u9lxs,1.0,0.0,0.0,0.2732
c1ua1bt,0.259,0.0,0.741,0.6369
c1ubt8v,0.185,0.07,0.746,0.8945
c1uc8tb,0.146,0.0,0.854,0.8779
c1ubt02,0.0,0.095,0.905,-0.2732
c1uin6o,0.0,0.0,1.0,0.0
c1ubdza,0.087,0.0,0.913,0.3182
c1uaioj,0.133,0.0,0.867,0.6705
c1uarlo,0.0,0.14,0.86,-0.4767
c1uce61,0.3,0.0,0.7,0.7419
c1uauk4,0.245,0.0,0.755,0.9396
c1ucqg6,0.11,0.141,0.749,-0.1962
c1ubqwx,0.0,0.28,0.72,-0.765
c1u9usd,0.0,0.136,0.864,-0.5499
c1u9m7b,0.082,0.307,0.611,-0.7476
c1u9o7m,0.137,0.108,0.755,0.5416
